Type|Title|Start Date|End Date|Location|Description
Conferência|LGPD: como se adequar até 2020? #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 17:00|17 de Agosto de 2019 às 17:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Redes sociais, inteligência artificial e a produção do discurso #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 17:05|17 de Agosto de 2019 às 17:55|Natal, Rio Grande do Norte, Brazil|
Conferência|IOT e a acessibilidade #CPNatal2|17 de Agosto de 2019 às 17:15|17 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Compartilhamento e Networking para Crescer na sua carreira #CPNatal2|17 de Agosto de 2019 às 17:15|17 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Criando negócios tecnológicos #CPNatal2|17 de Agosto de 2019 às 17:15|17 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Gestão do que mais importa: Tempo e Dinheiro! #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 17:15|17 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Conferência|O poder da criatividade na criação de negócios de impacto social e no atendimento ao cliente #CPNatal2|17 de Agosto de 2019 às 17:15|17 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Flask from Rest to Test #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 17:45|17 de Agosto de 2019 às 18:30|Natal, Rio Grande do Norte, Brazil|
Conferência|"O problema é na placa mãe..." : as dificuldades de ser mulher e mãe na TI #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 18:00|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Oficina de Chão - Robótica Disruptiva #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 18:00|17 de Agosto de 2019 às 18:45|Natal, Rio Grande do Norte, Brazil|
Conferência|O Empreendedor da Era 4.0 #CPNatal2|17 de Agosto de 2019 às 18:15|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Criando uma aplicação IoT com Arduino e Firebase usando apenas Javascript #CPNatal2|17 de Agosto de 2019 às 18:15|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Mini Paredão Eletrônico e ciclo paredões #CPNatal2|17 de Agosto de 2019 às 18:15|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Titulo Cidadão Natalense #CPNatal2|17 de Agosto de 2019 às 18:15|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Web hacking para CTF e Bug Hunters #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 18:15|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Conferência|HUMANufacturing Tech: não há nada mais humano do que a tecnologia #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 19:00|17 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Design Sprint: do Google para sua realidade #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 19:05|17 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Como é a carreira em engenharia (desenvolvimento) de software? #CPNatal2|17 de Agosto de 2019 às 19:15|17 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Ícones: Semiótica, UX e Acessibilidade #CPNatal2|17 de Agosto de 2019 às 19:15|17 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
Conferência|CTF como ferramenta de aprendizado em segurança da informação #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 19:15|17 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
