Type|Title|Start Date|End Date|Location|Description
Talk|5 Dicas pra começar bem no desenvolvimento de jogos #CPNatal2|Aug. 18, 2019, 11 a.m.|Aug. 18, 2019, 11:45 a.m.|Natal, Rio Grande do Norte, Brazil|O objetivo da palestra é falar um pouco sobre as principais áreas do desenvolvimento de jogos, dar uma ideia do que é feito em cada uma, que ferramentas usar. Juntamente a isso também falar sobre a importância da comunidade e alguns atalhos que podem ajudar pra quem está começando.
Talk|Como extrair os melhores resultados de organizações voluntárias #CPNatal2 #COMUNIDADELEP|Aug. 18, 2019, 11 a.m.|Aug. 18, 2019, 11:45 a.m.|Natal, Rio Grande do Norte, Brazil|Muitas são as oportunidades de se engajar em projetos e organizações voluntárias ao longo da vida. Entretanto, nem sempre conseguimos alavancar os nossos resultados e aproveitar o máximo de cada experiência de voluntariado. Nesta palestra, mostraremos como podemos elevar o nosso aproveitamento em organizações do tipo e como carregar mais bagagens que somarão muito positivamente em nossa tragetória.
Talk|Introdução à Machine Learning #CPNatal2 #OpenCampus|Aug. 18, 2019, 10:30 a.m.|Aug. 18, 2019, 11:30 a.m.|Natal, Rio Grande do Norte, Brazil|Completa introdução aos principais algoritmos de Machine Learning, com vários códigos exemplos simples que permitirão uma aprendizagem geral dessa ciência extremamente importante atualmente. Basta um computador com conexão para para participar.
Talk|A Robótica transformando a educação e as pessoas #CPNatal2|Aug. 17, 2019, 11 p.m.|Aug. 17, 2019, 11:45 p.m.|Natal, Rio Grande do Norte, Brazil|A Robótica tem auxiliado na mudança de paradigmas na educação e na sociedade, melhorando as perspectivas dentro e fora da sala de aula. É uma poderosa ferramenta para desenvolver e aplicar habilidades interdisciplinares em Ciência, Tecnologia, Engenharia, Artes e Matemática, como também, uma importante ferramenta para empoderamento e inclusão. Iremos compartilhar diferentes olhares e experiências de transformações a partir da robótica, dentro e fora do ambiente escolar.
Talk|Plataforma para veículos inteligentes na perspectiva da Indústria 4.0 #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|Aug. 17, 2019, 10 p.m.|Aug. 17, 2019, 10:45 p.m.|Natal, Rio Grande do Norte, Brazil|"Na última década, o crescimento da economia, setores automotivo e tecnológico, tem se destacado. Paralelamente a esse crescimento, surge o termo ""Indústria 4.0"" que é usado para representar a atual Revolução Industrial. Esta revolução envolve diferentes áreas: desde a manufatura a saúde. A indústria 4.0 pode criar valor durante todo o ciclo de vida do produto, promovendo o feedback dos clientes e obtendo o ciclo de vida do produto. Assim, a comunicação automática entre veículo e fábrica foi facilitada, permitindo a realização de diferentes análises em relação aos veículos, como a identificação de padrões de conduções e/ou análises de sensores como consumo de combustível, indicadores de manutenção e assim por diante, através do uso do OBD (On-Board Diagnostics)."
Talk|[EJECT] Planejando e Gerenciando Projetos com Agile #CPNatal2|Aug. 17, 2019, 11 p.m.|Aug. 17, 2019, 11:45 p.m.|Natal, Rio Grande do Norte, Brazil|Agile, Scrum, Kanban, Manifesto Ágil. Esses são conceitos bastante conhecidos no desenvolvimento de projetos hoje em dia. Mas há alguns anos, enquanto enfrentávamos problemas com o atraso de projetos, entregas que não atendiam às expectativas de clientes e um desenvolvimento fundamentalmente baseado no modelo waterfall (cascata), não imaginávamos o quanto que as metodologias ágeis iriam nos ajudar.Em nossa conversa, iremos conhecer um pouco sobre o cenário do desenvolvimento de projetos antes e depois do Agile e, para efeitos de aprofundamento, analisaremos o Scrum e algumas de suas principais cerimônias, papeis e artefatos, oferecendo uma visão prática sobre a forma de funcionamento e implementação.
Talk|Makers e acessibilidade, Quebrando paradigmas por meio da tecnologia #CPNatal2|Aug. 17, 2019, 10 p.m.|Aug. 17, 2019, 10:45 p.m.|Natal, Rio Grande do Norte, Brazil|A palestra abordará, por meio de exemplos práticos e casos de sucesso, como o avanço tecnológico pôde facilitar o cotidiano de pessoas com os mais variados tipos de deficiência a se inserir no mundo virtual. Abordará também a importância da inclusão tecnológica dessas pessoas como criadoras  e desenvolvedoras de tecnologia, encorajando os ouvintes a quebrar paradigmas sociais por meio de suas criações no ramo das tecnologias assistivas.
Talk|Introdução à containers com Docker #CPNatal2 #COMUNIDADEDEVOPSRN|Aug. 17, 2019, 10 p.m.|Aug. 17, 2019, 10:45 p.m.|Natal, Rio Grande do Norte, Brazil|Introdução ao conceito de containers com docker e docker-compose
Talk|Inteligência Artificial em Sala de Aula Invertida #CPNatal2|Aug. 17, 2019, 10 p.m.|Aug. 17, 2019, 10:45 p.m.|Natal, Rio Grande do Norte, Brazil|Imagine um sistema educacional no qual os alunos estudam os conteúdos curriculares em suas casas só para depois irem à escola encontrar professores e colegas, tirar suas dúvidas e fazer exercícios. Em outras palavras, onde a lição de casa é feita em sala e a aula é dada em casa. Como professor do Instituto Federal de Goiás, implementei tal técnica no ensino de inteligência artificial desenvolvi um método de ensino baseado em sala de aula invertida, onde, meus alunos aprendem o conteúdo da grade curricular de IA em um canal do youtube (youtube.com/canalsandeco) e aplicamos o conhecimento aprendido em sala de aula em resoluções de problemas reais utilizando da área de inteligência artificial.A metodologia tradicional deixa o aluno num papel passivo, simplesmente ouvindo as explicações do professor. Ao inverter esse modelo e fazer com que o aluno assista às aulas fora do ambiente da escola ou universidade, há um aumento na presença e participação em sala de aula.Colhemos os resultados em desenvolvimento de projetos e IA aplicados a problemas reais e de uma substancial elevação das notas dos alunos no Enade (qua agora são as melhores notas dos alunos de computação do estado de Goiás), mas o mais impactante, foi o ânimo que foi recobrado. O que nós chamamos de brilho nos olhos.
Talk|Como impactar usando ppt #CPNatal2 #COMUNIDADELEP|Aug. 17, 2019, 10 p.m.|Aug. 17, 2019, 10:45 p.m.|Natal, Rio Grande do Norte, Brazil|Mostrar técnicas para deixar um PPT organizado e intuitivo.
